date,tick,sqrtPrice,liquidity,volumeUSD,volumeToken0,volumeToken1,tvlUSD,feesUSD,close,open,low,high
1690243200,201082,1841255079735075204015889242387295,29334946777167621738,15611544.935306113,15618352.893065,8441.527131020794166598,448550330.33410716,7805.772467653057,1849.753174021658719311216735066312,1849.753174021658719311216735066312,1845.918226906571342555374277668441,1855.101251590967908966323758041347
1690156800,201092,1842137682782003074567989297132856,28983827767533051385,188013305.58811507,187993164.678518,101494.106385478752089409,451979211.4155107,94006.65279405753,1888.090357907693409382484729935663,1888.090357907693409382484729935663,1823.943401160167252569654197049897,1889.322205117618327995466421993065
1690070400,200887,1823342136037211281424014263837641,36724937881999124033,96230275.90123445,96248259.552457,51210.550782112735380106,456201458.36915773,48115.13795061722,1867.512810587857742280155347109961,1867.512810587857742280155347109961,1848.926527289534868499190790905532,1903.342808068319323636622383834041
1689984000,201003,1834030979989323292917161038459059,31910517471171033155,114733854.20020005,114703146.116032,60847.398815355940177097,453186452.5683674,57366.92710010002,1892.129064847770749617222821603747,1892.129064847770749617222821603747,1848.885148890851794836450512896238,1906.497175042919912929238660436237
1689897600,200865,1821395791154592514214103033330937,40243892839276545027,111528164.24360631,111545571.848497,58925.306929909570056642,456902455.97933465,55764.082121803156,1891.617541321783266311518226902891,1891.617541321783266311518226902891,1884.500432077825047240119183173502,1903.630954341870203126077441037977
1689811200,200868,1821641157723401725687893668334935,28822237686655751346,186871643.20771357,186855441.305135,98430.204365891493221602,456927851.895423,93435.82160385678,1889.466226015693714614445337132912,1889.466226015693714614445337132912,1875.357841893176006031776977396542,1927.838738730822882797859407307915
1689724800,200879,1822677692879091535660393173321091,27220995756533702811,176704238.27454922,176688937.000655,92783.370527789285000307,456227422.0779163,88352.11913727461,1896.549801122335393838707881630802,1896.549801122335393838707881630802,1883.787482681799574758363648607995,1919.705417393653936147091345419482
1689638400,200842,1819271234599716950652180250763916,35020557525648277673,187724062.51738063,187689141.718725,98867.89641761396982921,456810296.9921137,93862.03125869032,1911.825367732729714143017443818551,1911.825367732729714143017443818551,1880.463385642042235686836108127287,1916.54326833660684408544896238639
1689552000,200762,1811993347907839577261668298976192,35592008554798447431,236268986.05207005,236253545.53144,123762.198098791417609197,459521729.6768051,118134.49302603502,1922.519345860322813716563198468766,1922.519345860322813716563198468766,1875.636439587838930368272434310778,1943.692422961191473919324975771827
1689465600,200706,1806941600316413335959425730034032,35270072148148934984,116753752.60317731,116743981.305292,60471.58895035572476895,459495872.5055845,58376.87630158866,1930.813067307490031158125006350455,1930.813067307490031158125006350455,1917.731514789253531046161503358969,1942.736878669313595612332298949563
1689379200,200663,1803065767836084564855224590423684,37649377139639916510,130069251.2031698,130034232.641905,67203.008301508622890797,460537204.8835228,65034.6256015849,1938.029233290011254376756962264967,1938.029233290011254376756962264967,1928.194936671077682598368466913439,1945.894818886168810895392500753872
1689292800,200625,1799642676401975611195520053892876,32586588019803561792,388946090.3769622,388824037.904561,197127.634452369075155394,458836950.63598,194473.0451884811,2005.795207127003981631073814213652,2005.795207127003981631073814213652,1902.261538153442577023771898497054,2026.259434753418378868562910910843
1689206400,200282,1769034417696965085614939372675073,29188008783286360696,458623558.15662366,458797215.07331,234145.269610651084430106,467077428.47824633,229311.77907831184,1872.499677220801202876589596730063,1872.499677220801202876589596730063,1864.228644367900918461173305467427,2010.938923558412088664576706859667
1689120000,200970,1830921455145474158856510415581138,29960211359973302046,200649004.28140745,200674825.775813,106550.561063970921021693,460018975.6200158,100324.50214070373,1878.29673823330834882996791388257,1878.29673823330834882996791388257,1866.144593244101125839552258825293,1900.10941779604300156384992531739
1689033600,200939,1828089330310825306513449647888083,33351206482373825691,123618246.44873756,123590723.012496,65917.584148390022965137,460224525.4025004,61809.123224368785,1880.301663329314956046312849965026,1880.301663329314956046312849965026,1864.240053649891477965449402338742,1888.823667335651854643419860047604
1688947200,200928,1827116637046247964542334009279473,30239518322813345281,165398167.60682732,165426970.734089,88465.236059690041390518,460793934.23448443,82699.08380341365,1862.618448341501540134956888565038,1862.618448341501540134956888565038,1848.865404653839959856116445662855,1903.382460684410252741536349066527
1688860800,201022,1835767867443351717691779793551186,30903136168127785390,96719318.30295914,96724419.867045,51782.584337701269499195,460305784.78111285,48359.65915147957,1864.477440435015655757954621898984,1864.477440435015655757954621898984,1858.308298524995746065041723087824,1877.561390979711350083283932495095
1688774400,201012,1834849670802009018077624890720422,35078515368049193217,100553915.53569318,100574752.600436,54071.950608519765002406,460314785.1363714,50276.957767846594,1869.806200075028457590972214183586,1869.806200075028457590972214183586,1844.6039526017101613103458461463,1872.381179068338353336090299083769
